City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,cannonvale,-20.2833,148.7,299.81,73,91,7.93,AU,1708212525
315,nouadhibou,20.931,-17.0347,294.14,73,0,7.72,MR,1708212525
316,oranjemund,-28.55,16.4333,289.57,89,0,4.07,NA,1708212526
317,ayr,55.4627,-4.6339,284.44,100,75,7.2,GB,1708212527
318,igrim,63.1906,64.4162,247.78,97,39,2.65,RU,1708212527
319,mount gambier,-37.8333,140.7667,291.7,67,61,2.94,AU,1708212528
320,kitimat,54.0524,-128.6534,278.53,50,96,2.24,CA,1708212528
321,nuku'alofa,-21.1333,-175.2,302.34,65,20,7.2,TO,1708212529
322,arkhangel'sk,64.5401,40.5433,268.21,100,100,4.0,RU,1708212529
323,queenstown,-31.8976,26.8753,286.56,84,67,1.93,ZA,1708212372
324,sur,22.5667,59.5289,296.99,55,1,2.69,OM,1708212530
325,mar del plata,-38.0023,-57.5575,296.53,86,0,7.15,AR,1708212531
326,karystos,38.0133,24.4161,285.61,78,26,2.68,GR,1708212532
327,klichaw,53.4928,29.3352,276.14,89,99,5.38,BY,1708212532
328,revda,56.801,59.9303,251.4,95,63,1.75,RU,1708212533
329,colonia,50.9333,6.95,283.12,86,20,0.51,DE,1708212534
330,sarkand,45.41,79.9186,252.36,65,1,2.63,KZ,1708212534
331,marka,1.7159,44.7717,299.61,82,67,7.29,SO,1708212535
332,tofol,5.3248,163.0078,301.14,77,46,5.86,FM,1708212535
333,nova sintra,14.8667,-24.7167,294.08,79,4,10.79,CV,1708212536
334,kantunilkin,21.0917,-87.45,300.81,64,35,3.84,MX,1708212536
335,tidjikja,18.5564,-11.4271,299.17,8,98,4.8,MR,1708212537
336,caleta de carquin,-11.0925,-77.6267,298.12,82,48,4.24,PE,1708212538
337,la'ie,21.6477,-157.9253,299.13,50,1,3.13,US,1708212538
338,leava,-14.3,-178.1667,301.85,84,95,8.12,WF,1708212539
339,klaksvik,62.2266,-6.589,280.66,96,100,10.37,FO,1708212539
340,khilchipur,24.0333,76.5667,293.16,37,13,1.72,IN,1708212540
341,wabag,-5.4781,143.7021,291.06,89,80,0.29,PG,1708212541
342,laguna,38.421,-121.4238,288.96,79,100,11.32,US,1708212541
343,cooma,-36.2333,149.1333,297.99,46,84,1.85,AU,1708212542
344,hiratacho,35.4333,132.8167,276.16,100,20,1.03,JP,1708212542
345,san patricio,28.017,-97.5169,282.12,64,100,7.49,US,1708212543
346,isiolo,0.3546,37.5822,296.09,58,57,1.92,KE,1708212543
347,muynoq,43.7683,59.0214,271.0,48,100,11.34,UZ,1708212544
348,nizhniy odes,63.6445,54.856,257.86,89,100,7.06,RU,1708212544
349,yambio,4.5721,28.3955,296.91,29,49,2.13,SS,1708212545
350,linhares,-19.3911,-40.0722,297.4,93,62,1.37,BR,1708212279
351,olinda,-8.0089,-34.8553,302.0,84,75,3.6,BR,1708212254
352,bovalino,38.149,16.174,284.43,80,0,1.61,IT,1708212547
353,vorgashor,67.5833,63.95,249.54,79,80,3.16,RU,1708212547
354,serres,41.0856,23.5497,283.93,91,6,0.68,GR,1708212548
355,fortuna,40.5982,-124.1573,285.74,93,100,2.68,US,1708212548
356,malmberget,67.1753,20.6549,259.46,85,31,3.09,SE,1708212549
357,macapa,0.0389,-51.0664,301.14,83,0,5.14,BR,1708212550
358,zeya,53.75,127.2667,248.42,82,81,2.45,RU,1708212550
359,sarupathar,26.1984,93.8094,288.98,67,44,1.08,IN,1708212551
360,heunghae,36.1125,129.3522,277.96,63,2,2.68,KR,1708212551
361,karratha,-20.7377,116.8463,302.21,64,14,3.44,AU,1708212552
362,amberieu-en-bugey,45.9589,5.3432,283.14,96,47,2.03,FR,1708212552
363,starkville,33.4504,-88.8184,278.84,48,0,5.66,US,1708212553
364,soto la marina,23.7667,-98.2167,285.49,87,100,6.33,MX,1708212554
365,devils lake,48.1128,-98.8651,274.14,53,0,9.77,US,1708212330
366,pundong,-7.9522,110.3486,298.32,89,55,0.92,ID,1708212555
367,krasnokamsk,58.0802,55.7541,253.24,100,81,1.43,RU,1708212556
368,kailua-kona,19.6406,-155.9956,302.13,56,40,8.75,US,1708212557
369,jutai,-5.1833,-68.9,298.14,96,97,0.74,BR,1708212558
370,kodinsk,58.6881,99.1844,238.83,100,99,0.39,RU,1708212558
371,pudasjarvi,65.3833,26.9167,266.22,82,97,6.5,FI,1708212559
372,maridi,4.9158,29.4742,296.86,28,45,2.04,SS,1708212559
373,coronel dorrego,-38.7187,-61.2873,297.98,53,0,6.04,AR,1708212560
374,lesozavodsk,45.4794,133.4244,266.64,89,56,2.85,RU,1708212561
375,kibre mengist,5.8833,38.9833,288.43,59,31,1.15,ET,1708212561
376,titao,13.7667,-2.0667,298.48,11,90,4.19,BF,1708212562
377,dudinka,69.4058,86.1778,251.27,90,100,4.92,RU,1708212562
378,komsomolets,53.7453,62.0708,256.18,96,100,1.98,KZ,1708212563
379,laurel,39.0993,-76.8483,275.03,48,0,4.63,US,1708212563
380,santa ana,33.7456,-117.8678,292.95,65,75,3.6,US,1708212487
381,heroica caborca,30.7167,-112.15,297.09,22,24,4.07,MX,1708212564
382,sibu,2.3,111.8167,298.32,100,40,0.0,MY,1708212565
383,ishpeming,46.4885,-87.6676,268.44,72,100,5.09,US,1708212565
384,taoudenni,22.6783,-3.9836,299.21,13,0,4.72,ML,1708212566
385,verkhotur'ye,58.8627,60.8054,248.94,99,32,2.23,RU,1708212567
386,carhuaz,-9.2819,-77.6447,292.22,76,77,1.6,PE,1708212567
387,gamay,12.3854,125.2979,298.46,92,66,4.79,PH,1708212568
388,ciudad lazaro cardenas,17.9583,-102.2,298.14,66,76,2.92,MX,1708212568
389,san juan,-31.5375,-68.5364,307.71,27,11,9.06,AR,1708212569
390,conde,-7.2597,-34.9075,300.85,94,40,2.57,BR,1708212569
391,egersund,58.4513,5.9997,274.47,86,100,3.65,NO,1708212570
392,kani keli,-12.9536,45.1033,300.74,81,99,4.22,YT,1708212570
393,medina,24.4686,39.6142,289.39,20,0,2.06,SA,1708212571
394,constantia,44.1833,28.65,276.53,84,5,0.92,RO,1708212572
395,al hasakah,36.5024,40.7477,284.06,82,87,1.14,SY,1708212572
396,golyshmanovo,56.3979,68.3728,244.06,100,98,1.32,RU,1708212573
397,mariental,-24.6333,17.9667,296.55,15,40,2.12,NA,1708212573
398,mossel bay,-34.1831,22.146,290.5,68,2,2.63,ZA,1708212575
399,sinop,41.7711,34.8709,276.67,98,100,1.31,TR,1708212575
400,malmyzh,56.5205,50.6818,261.1,90,100,6.04,RU,1708212576
401,mirnyy,62.5353,113.9611,236.61,66,83,5.81,RU,1708212576
402,usogorsk,63.4106,48.6872,260.74,89,100,7.44,RU,1708212577
403,copoya,16.7167,-93.0833,302.2,33,75,2.06,MX,1708212578
404,alaghsas,17.0187,8.0168,291.63,20,0,4.83,NE,1708212578
405,nikol'sk,53.7189,46.0712,260.82,93,100,4.75,RU,1708212579
406,naha,26.2125,127.6811,293.7,74,40,3.09,JP,1708212579
407,saipan,15.1355,145.701,299.54,89,100,5.66,MP,1708212580
408,al mijlad,11.0333,27.7333,297.39,16,75,6.48,SD,1708212580
409,kuta,-8.7233,115.1723,300.12,88,75,0.51,ID,1708212581
410,nabire,-3.3667,135.4833,300.23,81,80,0.91,ID,1708212582
411,sisimiut,66.9395,-53.6735,262.19,87,76,5.56,GL,1708212582
412,amga,60.8953,131.9608,245.24,97,100,2.77,RU,1708212583
413,fortaleza,-3.7227,-38.5247,302.22,79,20,3.6,BR,1708212299
414,hasaki,35.7333,140.8333,285.53,60,100,4.5,JP,1708212584
